geonameid	name	asciiname	alternatenames	latitude	longitude	feature_class	feature_code	country_code	cc2	admin1_code	admin2_code	admin3_code	admin4_code	population	elevation	dem	timezone	modification_date
8052721	Banghlādish	Banghladish	Banghladish,Banghlādish,Bangladesh,bnghladsh,بنغلادش	24.45843	54.36941	S	DIP	AE		01	101	12748135.0		0		8	Asia/Dubai	2024-03-14
8053917	Irtīriyā	Irtiriya	Eritrea,Irtiriya,Irtīriyā,artyrya,أرتيريا	24.48614	54.36694	S	DIP	AE		01	101	12748135.0		0		6	Asia/Dubai	2024-03-14
8053932	Tāylānd	Tayland	Tayland,Thailand,Tāylānd,tayland,تايلاند	24.47609	54.371	S	DIP	AE		01	101	12748135.0		0		6	Asia/Dubai	2024-03-14
8053942	Sri Lanka embassy	Sri Lanka embassy	Sri Lanka,Srilanka,Srilānkā,srylanka,سريلانكا	24.48071	54.37431	S	DIP	AE		01	101	12748135.0		0		33	Asia/Dubai	2024-03-14
8053957	Finlandā	Finlanda	Finland,Finlanda,Finlandā,fnlnda,فنلندا	24.47967	54.37773	S	DIP	AE		01	101	12748135.0		0		7	Asia/Dubai	2024-03-14
8054095	Aş Şīn	As Sin	As Sin,Aş Şīn,China,alsyn,الصين	24.44054	54.37143	S	DIP	AE		01	101	12748135.0		0		8	Asia/Dubai	2024-03-14
8056715	Īrān	Iran	Iran,ayran,Īrān,ايران	24.42211	54.43964	S	DIP	AE		01	101	12748135.0		0		7	Asia/Dubai	2024-03-14
8056717	As Sūdān	As Sudan	As Sudan,As Sūdān,Sudan,alswdan,السودان	24.4281	54.4176	S	DIP	AE		01	101	12748135.0		0		9	Asia/Dubai	2024-03-14
8056721	Qaţar	Qatar	Qatar,Qaţar,qtr,قطر	24.4236	54.42911	S	DIP	AE		01	101	12748135.0		0		8	Asia/Dubai	2024-03-14
8056723	Bākistān	Bakistan	Bakistan,Bākistān,Pakistan,bakstan,باكستان	24.424	54.43211	S	DIP	AE		01	101	12748135.0		0		13	Asia/Dubai	2024-03-14
8225704	Aş Şīn	As Sin	As Sin,Aş Şīn,China,alsyn,الصين	25.20657	55.25286	S	DIP	AE		03				0		2	Asia/Dubai	2020-07-11
8226550	Bānāmā	Banama	Banama,Bānāmā,Panama,banama,باناما	25.26658	55.2944	S	DIP	AE		03				0		4	Asia/Dubai	2020-07-11
8226651	Qaţar	Qatar	Qatar,Qaţar,qtr,قطر	25.26418	55.31661	S	DIP	AE		03				0		7	Asia/Dubai	2020-06-12
8226656	Īrān	Iran	Iran,ayran,Īrān,ايران	25.25561	55.30826	S	DIP	AE		03				0		7	Asia/Dubai	2020-07-11
8226657	Al Hind	Al Hind	Al Hind,India,alhnd,الهند	25.25473	55.30839	S	DIP	AE		03				0		6	Asia/Dubai	2012-04-06
8226661	Bākistān	Bakistan	Bakistan,Bākistān,Pakistan,bakstan,باكستان	25.25396	55.30721	S	DIP	AE		03				0		4	Asia/Dubai	2020-06-12
8226747	Kanadā	Kanada	Canada,Kanada,Kanadā,knda,كندا	25.26122	55.29552	S	DIP	AE		03				0		13	Asia/Dubai	2020-06-12
